"C","Five-Minute Locational Marginal Prices"
"C","Filename: lmp_5min_final20200825_04-08.csv"
"C","Report for: 08/25/2020 - 08/25/2020"
"C","Report generated: 08/26/2020 12:21:28 EDT"
"C","Note: The Roseton congestion component is the sum of the NYISO congestion adder (if applicable) and the ISO-NE congestion component"
"H","Location ID","Local Time","Energy Component","Congestion Component","Loss Component","LMP"
"H","Number","Time","$/MWh","$/MWh","$/MWh","$/MWh"
"D",321,04:00:00,17.96,0.0,-0.22,17.74
"D",322,04:00:00,17.96,0.0,-0.22,17.74
"D",323,04:00:00,17.96,0.0,-0.22,17.74
"D",324,04:00:00,17.96,0.0,-0.15,17.81
"D",326,04:00:00,17.96,0.0,-0.25,17.71
"D",327,04:00:00,17.96,0.0,0.21,18.17
"D",328,04:00:00,17.96,0.0,0.07,18.03
"D",329,04:00:00,17.96,0.0,0.34,18.3
"D",330,04:00:00,17.96,0.0,0.4,18.36
"D",331,04:00:00,17.96,0.0,0.07,18.03
"D",335,04:00:00,17.96,0.0,0.26,18.22
"D",336,04:00:00,17.96,0.0,0.15,18.11
"D",337,04:00:00,17.96,0.0,-0.21,17.75
"D",340,04:00:00,17.96,0.0,-0.3,17.66
"D",341,04:00:00,17.96,0.0,-0.3,17.66
"D",345,04:00:00,17.96,0.0,0.07,18.03
"D",346,04:00:00,17.96,0.0,0.12,18.08
"D",348,04:00:00,17.96,0.0,0.1,18.06
"D",349,04:00:00,17.96,0.0,-0.3,17.66
"D",355,04:00:00,17.96,0.0,-0.05,17.91
"D",356,04:00:00,17.96,0.0,-0.36,17.6
"D",357,04:00:00,17.96,0.0,0.35,18.31
"D",358,04:00:00,17.96,0.0,0.13,18.09
"D",359,04:00:00,17.96,0.0,0.05,18.01
"D",360,04:00:00,17.96,0.0,0.05,18.01
"D",362,04:00:00,17.96,0.0,-0.46,17.5
"D",363,04:00:00,17.96,0.0,0.02,17.98
"D",365,04:00:00,17.96,0.0,0.05,18.01
"D",366,04:00:00,17.96,0.0,0.05,18.01
"D",367,04:00:00,17.96,0.0,0.16,18.12
"D",368,04:00:00,17.96,0.0,0.16,18.12
"D",369,04:00:00,17.96,0.0,0.11,18.07
"D",370,04:00:00,17.96,0.0,-0.18,17.78
"D",371,04:00:00,17.96,0.0,-0.18,17.78
"D",372,04:00:00,17.96,0.0,-0.18,17.78
"D",375,04:00:00,17.96,0.0,0.09,18.05
"D",376,04:00:00,17.96,0.0,0.09,18.05
"D",379,04:00:00,17.96,0.0,-0.15,17.81
"D",382,04:00:00,17.96,0.0,0.17,18.13
"D",383,04:00:00,17.96,0.0,0.17,18.13
"D",388,04:00:00,17.96,0.0,0.05,18.01
"D",389,04:00:00,17.96,0.0,-0.42,17.54
"D",393,04:00:00,17.96,0.0,0.01,17.97
"D",395,04:00:00,17.96,0.0,-0.25,17.71
"D",396,04:00:00,17.96,0.0,-0.28,17.68
