"C","Five-Minute Locational Marginal Prices"
"C","Filename: lmp_5min_final20200212_08-12.csv"
"C","Report for: 02/12/2020 - 02/12/2020"
"C","Report generated: 02/13/2020 12:09:21 EST"
"C","Note: The Roseton congestion component is the sum of the NYISO congestion adder (if applicable) and the ISO-NE congestion component"
"H","Location ID","Local Time","Energy Component","Congestion Component","Loss Component","LMP"
"H","Number","Time","$/MWh","$/MWh","$/MWh","$/MWh"
"D",321,08:00:00,28.8,0.0,-0.28,28.52
"D",322,08:00:00,28.8,0.0,-0.28,28.52
"D",323,08:00:00,28.8,0.0,-0.28,28.52
"D",324,08:00:00,28.8,0.0,-0.29,28.51
"D",326,08:00:00,28.8,0.0,-1.54,27.26
"D",327,08:00:00,28.8,0.0,0.58,29.38
"D",328,08:00:00,28.8,0.0,0.13,28.93
"D",329,08:00:00,28.8,0.0,0.29,29.09
"D",330,08:00:00,28.8,0.0,0.82,29.62
"D",331,08:00:00,28.8,0.0,-0.24,28.56
"D",335,08:00:00,28.8,0.0,0.02,28.82
"D",336,08:00:00,28.8,0.0,0.08,28.88
"D",337,08:00:00,28.8,0.0,-0.86,27.94
"D",340,08:00:00,28.8,0.0,-1.13,27.67
"D",341,08:00:00,28.8,0.0,-1.13,27.67
"D",345,08:00:00,28.8,0.0,-0.24,28.56
"D",346,08:00:00,28.8,0.0,0.05,28.85
"D",348,08:00:00,28.8,0.0,0.34,29.14
"D",349,08:00:00,28.8,0.0,-1.13,27.67
"D",355,08:00:00,28.8,0.0,-0.69,28.11
"D",356,08:00:00,28.8,0.0,-0.9,27.9
"D",357,08:00:00,28.8,0.0,0.69,29.49
"D",358,08:00:00,28.8,0.0,0.31,29.11
"D",359,08:00:00,28.8,0.0,-1.8,27.0
"D",360,08:00:00,28.8,0.0,-1.8,27.0
"D",362,08:00:00,28.8,0.0,-1.17,27.63
"D",363,08:00:00,28.8,0.0,-0.29,28.51
"D",365,08:00:00,28.8,0.0,0.47,29.27
"D",366,08:00:00,28.8,0.0,0.47,29.27
"D",367,08:00:00,28.8,0.0,0.56,29.36
"D",368,08:00:00,28.8,0.0,0.56,29.36
"D",369,08:00:00,28.8,0.0,0.41,29.21
"D",370,08:00:00,28.8,0.0,-0.93,27.87
"D",371,08:00:00,28.8,0.0,-0.93,27.87
"D",372,08:00:00,28.8,0.0,-0.93,27.87
"D",375,08:00:00,28.8,0.0,0.9,29.7
"D",376,08:00:00,28.8,0.0,0.9,29.7
"D",379,08:00:00,28.8,0.0,-0.32,28.48
"D",382,08:00:00,28.8,0.0,0.54,29.34
"D",383,08:00:00,28.8,0.0,0.54,29.34
"D",388,08:00:00,28.8,0.0,1.07,29.87
"D",389,08:00:00,28.8,0.0,-1.34,27.46
"D",393,08:00:00,28.8,0.0,-1.89,26.91
"D",395,08:00:00,28.8,0.0,-1.54,27.26
"D",396,08:00:00,28.8,0.0,-1.14,27.66
"D",397,08:00:00,28.8,0.0,-1.27,27.53
"D",398,08:00:00,28.8,0.0,-1.27,27.53
"D",399,08:00:00,28.8,0.0,-1.27,27.53
"D",400,08:00:00,28.8,0.0,-1.27,27.53
"D",401,08:00:00,28.8,0.0,0.89,29.69
"D",405,08:00:00,28.8,0.0,0.05,28.85
"D",407,08:00:00,28.8,0.0,-0.03,28.77
"D",410,08:00:00,28.8,0.0,-0.51,28.29
"D",412,08:00:00,28.8,0.0,-0.37,28.43
