"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20190201.csv"
"C","Report for: 02/01/2019 - 02/01/2019"
"C","Report generated: 08/02/2021 14:10:32 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","02/01/2019","01",14931.48
"D","02/01/2019","02",14616.98
"D","02/01/2019","03",14739.54
"D","02/01/2019","04",14777.21
"D","02/01/2019","05",14986.69
"D","02/01/2019","06",15807.76
"D","02/01/2019","07",17450.88
"D","02/01/2019","08",18337.81
"D","02/01/2019","09",18128.94
"D","02/01/2019","10",17650.27
"D","02/01/2019","11",17312.07
"D","02/01/2019","12",16954.42
"D","02/01/2019","13",16626.08
"D","02/01/2019","14",16684.16
"D","02/01/2019","15",16693.14
"D","02/01/2019","16",16986.89
"D","02/01/2019","17",17415.96
"D","02/01/2019","18",18393.93
"D","02/01/2019","19",18496.67
"D","02/01/2019","20",18222.37
"D","02/01/2019","21",17753.6
"D","02/01/2019","22",17079.62
"D","02/01/2019","23",16168.0
"D","02/01/2019","24",15231.72
"T","24 lines"
