"C","Five-Minute Locational Marginal Prices"
"C","Filename: lmp_5min_final20200716_20-24.csv"
"C","Report for: 07/16/2020 - 07/16/2020"
"C","Report generated: 07/17/2020 11:44:22 EDT"
"C","Note: The Roseton congestion component is the sum of the NYISO congestion adder (if applicable) and the ISO-NE congestion component"
"H","Location ID","Local Time","Energy Component","Congestion Component","Loss Component","LMP"
"H","Number","Time","$/MWh","$/MWh","$/MWh","$/MWh"
"D",321,20:00:00,14.95,0.0,-0.38,14.57
"D",322,20:00:00,14.95,0.0,-0.38,14.57
"D",323,20:00:00,14.95,0.0,-0.38,14.57
"D",324,20:00:00,14.95,0.0,-0.01,14.94
"D",326,20:00:00,14.95,0.0,-0.16,14.79
"D",327,20:00:00,14.95,0.0,0.18,15.13
"D",328,20:00:00,14.95,0.0,-0.08,14.87
"D",329,20:00:00,14.95,0.0,0.35,15.3
"D",330,20:00:00,14.95,0.0,0.33,15.28
"D",331,20:00:00,14.95,0.0,-0.51,14.44
"D",335,20:00:00,14.95,0.0,0.21,15.16
"D",336,20:00:00,14.95,0.0,0.11,15.06
"D",337,20:00:00,14.95,0.0,-0.46,14.49
"D",340,20:00:00,14.95,0.0,-0.15,14.8
"D",341,20:00:00,14.95,0.0,-0.15,14.8
"D",345,20:00:00,14.95,0.0,-0.51,14.44
"D",346,20:00:00,14.95,0.0,0.15,15.1
"D",348,20:00:00,14.95,0.0,0.03,14.98
"D",349,20:00:00,14.95,0.0,-0.15,14.8
"D",355,20:00:00,14.95,0.0,-0.02,14.93
"D",356,20:00:00,14.95,0.0,-0.12,14.83
"D",357,20:00:00,14.95,0.0,0.24,15.19
"D",358,20:00:00,14.95,0.0,-0.01,14.94
"D",359,20:00:00,14.95,0.0,-0.11,14.84
"D",360,20:00:00,14.95,0.0,-0.11,14.84
"D",362,20:00:00,14.95,0.0,-0.13,14.82
"D",363,20:00:00,14.95,0.0,0.14,15.09
"D",365,20:00:00,14.95,0.0,0.07,15.02
"D",366,20:00:00,14.95,0.0,0.07,15.02
"D",367,20:00:00,14.95,0.0,-0.05,14.9
"D",368,20:00:00,14.95,0.0,-0.05,14.9
"D",369,20:00:00,14.95,0.0,-0.06,14.89
"D",370,20:00:00,14.95,0.0,0.03,14.98
"D",371,20:00:00,14.95,0.0,0.03,14.98
"D",372,20:00:00,14.95,0.0,0.03,14.98
"D",375,20:00:00,14.95,0.0,0.08,15.03
"D",376,20:00:00,14.95,0.0,0.08,15.03
"D",379,20:00:00,14.95,0.0,-0.04,14.91
"D",382,20:00:00,14.95,0.0,0.16,15.11
"D",383,20:00:00,14.95,0.0,0.16,15.11
"D",388,20:00:00,14.95,0.0,0.04,14.99
"D",389,20:00:00,14.95,0.0,-0.21,14.74
"D",393,20:00:00,14.95,0.0,-0.1,14.85
"D",395,20:00:00,14.95,0.0,-0.16,14.79
"D",396,20:00:00,14.95,0.0,-0.16,14.79
"D",397,20:00:00,14.95,0.0,-0.2,14.75
"D",398,20:00:00,14.95,0.0,-0.2,14.75
"D",399,20:00:00,14.95,0.0,-0.2,14.75
"D",400,20:00:00,14.95,0.0,-0.2,14.75
"D",401,20:00:00,14.95,0.0,0.38,15.33
"D",405,20:00:00,14.95,0.0,0.23,15.18
"D",407,20:00:00,14.95,0.0,0.28,15.23
"D",410,20:00:00,14.95,0.0,0.03,14.98
"D",412,20:00:00,14.95,0.0,0.26,15.21
"D",413,20:00:00,14.95,0.0,-0.1,14.85
"D",417,20:00:00,14.95,0.0,0.12,15.07
"D",418,20:00:00,14.95,0.0,0.12,15.07
"D",419,20:00:00,14.95,0.0,0.12,15.07
"D",420,20:00:00,14.95,0.0,-0.04,14.91
"D",421,20:00:00,14.95,0.0,-0.05,14.9
"D",424,20:00:00,14.95,0.0,-0.09,14.86
"D",426,20:00:00,14.95,0.0,0.03,14.98
"D",427,20:00:00,14.95,0.0,-0.46,14.49
"D",432,20:00:00,14.95,0.0,-0.11,14.84
"D",433,20:00:00,14.95,0.0,-0.11,14.84
"D",434,20:00:00,14.95,0.0,-0.11,14.84
"D",435,20:00:00,14.95,0.0,-0.08,14.87
"D",436,20:00:00,14.95,0.0,0.42,15.37
"D",440,20:00:00,14.95,0.0,-0.03,14.92
"D",445,20:00:00,14.95,0.0,-0.07,14.88
"D",446,20:00:00,14.95,0.0,0.28,15.23
"D",448,20:00:00,14.95,0.0,-0.06,14.89
"D",449,20:00:00,14.95,0.0,0.21,15.16
"D",452,20:00:00,14.95,0.0,0.07,15.02
