"C","Five-Minute Locational Marginal Prices"
"C","Filename: lmp_5min_final20200506_16-20.csv"
"C","Report for: 05/06/2020 - 05/06/2020"
"C","Report generated: 05/07/2020 11:45:13 EDT"
"C","Note: The Roseton congestion component is the sum of the NYISO congestion adder (if applicable) and the ISO-NE congestion component"
"H","Location ID","Local Time","Energy Component","Congestion Component","Loss Component","LMP"
"H","Number","Time","$/MWh","$/MWh","$/MWh","$/MWh"
"D",321,16:00:00,28.37,0.0,-0.06,28.31
"D",322,16:00:00,28.37,0.0,-0.06,28.31
"D",323,16:00:00,28.37,0.0,-0.06,28.31
"D",324,16:00:00,28.37,0.0,0.11,28.48
"D",326,16:00:00,28.37,0.0,-0.78,27.59
"D",327,16:00:00,28.37,0.0,0.23,28.6
"D",328,16:00:00,28.37,0.0,-0.32,28.05
"D",329,16:00:00,28.37,0.0,-0.01,28.36
"D",330,16:00:00,28.37,0.0,0.22,28.59
"D",331,16:00:00,28.37,0.0,-0.43,27.94
"D",335,16:00:00,28.37,0.0,-0.26,28.11
"D",336,16:00:00,28.37,0.0,-0.53,27.84
"D",337,16:00:00,28.37,0.0,-0.97,27.4
"D",340,16:00:00,28.37,0.0,-0.44,27.93
"D",341,16:00:00,28.37,0.0,-0.44,27.93
"D",345,16:00:00,28.37,0.0,-0.43,27.94
"D",346,16:00:00,28.37,0.0,-0.58,27.79
"D",348,16:00:00,28.37,0.0,0.2,28.57
"D",349,16:00:00,28.37,0.0,-0.44,27.93
"D",355,16:00:00,28.37,0.0,-0.03,28.34
"D",356,16:00:00,28.37,0.0,-0.27,28.1
"D",357,16:00:00,28.37,0.0,0.1,28.47
"D",358,16:00:00,28.37,0.0,-0.28,28.09
"D",359,16:00:00,28.37,0.0,-0.87,27.5
"D",360,16:00:00,28.37,0.0,-0.87,27.5
"D",362,16:00:00,28.37,0.0,-0.53,27.84
"D",363,16:00:00,28.37,0.0,-0.66,27.71
"D",365,16:00:00,28.37,0.0,0.39,28.76
"D",366,16:00:00,28.37,0.0,0.39,28.76
"D",367,16:00:00,28.37,0.0,-0.13,28.24
"D",368,16:00:00,28.37,0.0,-0.13,28.24
"D",369,16:00:00,28.37,0.0,-0.15,28.22
"D",370,16:00:00,28.37,0.0,-0.24,28.13
"D",371,16:00:00,28.37,0.0,-0.24,28.13
"D",372,16:00:00,28.37,0.0,-0.24,28.13
"D",375,16:00:00,28.37,0.0,0.38,28.75
"D",376,16:00:00,28.37,0.0,0.38,28.75
"D",379,16:00:00,28.37,0.0,0.16,28.53
"D",382,16:00:00,28.37,0.0,0.18,28.55
"D",383,16:00:00,28.37,0.0,0.18,28.55
"D",388,16:00:00,28.37,0.0,0.27,28.64
"D",389,16:00:00,28.37,0.0,-0.67,27.7
"D",393,16:00:00,28.37,0.0,-0.95,27.42
"D",395,16:00:00,28.37,0.0,-0.78,27.59
"D",396,16:00:00,28.37,0.0,-0.45,27.92
"D",397,16:00:00,28.37,0.0,-0.58,27.79
"D",398,16:00:00,28.37,0.0,-0.58,27.79
"D",399,16:00:00,28.37,0.0,-0.58,27.79
"D",400,16:00:00,28.37,0.0,-0.58,27.79
"D",401,16:00:00,28.37,0.0,0.38,28.75
"D",405,16:00:00,28.37,0.0,-0.33,28.04
"D",407,16:00:00,28.37,0.0,-0.21,28.16
"D",410,16:00:00,28.37,0.0,-0.96,27.41
"D",412,16:00:00,28.37,0.0,-0.24,28.13
"D",413,16:00:00,28.37,0.0,-0.95,27.42
"D",417,16:00:00,28.37,0.0,0.43,28.8
"D",418,16:00:00,28.37,0.0,0.43,28.8
"D",419,16:00:00,28.37,0.0,0.43,28.8
"D",420,16:00:00,28.37,0.0,-0.2,28.17
"D",421,16:00:00,28.37,0.0,0.07,28.44
"D",424,16:00:00,28.37,0.0,-1.07,27.3
"D",426,16:00:00,28.37,0.0,-0.96,27.41
"D",427,16:00:00,28.37,0.0,-0.97,27.4
"D",432,16:00:00,28.37,0.0,-0.98,27.39
"D",433,16:00:00,28.37,0.0,-0.98,27.39
"D",434,16:00:00,28.37,0.0,-0.98,27.39
"D",435,16:00:00,28.37,0.0,-0.81,27.56
"D",436,16:00:00,28.37,0.0,0.27,28.64
"D",440,16:00:00,28.37,0.0,-0.16,28.21
"D",445,16:00:00,28.37,0.0,-0.95,27.42
"D",446,16:00:00,28.37,0.0,-0.21,28.16
"D",448,16:00:00,28.37,0.0,0.0,28.37
"D",449,16:00:00,28.37,0.0,0.26,28.63
"D",452,16:00:00,28.37,0.0,0.27,28.64
"D",457,16:00:00,28.37,0.0,0.2,28.57
"D",460,16:00:00,28.37,0.0,-0.52,27.85
"D",461,16:00:00,28.37,0.0,0.2,28.57
"D",462,16:00:00,28.37,0.0,-0.31,28.06
"D",463,16:00:00,28.37,0.0,-0.44,27.93
"D",464,16:00:00,28.37,0.0,-0.97,27.4
"D",465,16:00:00,28.37,0.0,-1.19,27.18
"D",467,16:00:00,28.37,0.0,0.23,28.6
"D",468,16:00:00,28.37,0.0,-0.53,27.84
"D",472,16:00:00,28.37,0.0,0.33,28.7
"D",473,16:00:00,28.37,0.0,-0.56,27.81
"D",474,16:00:00,28.37,0.0,-0.96,27.41
"D",478,16:00:00,28.37,0.0,-0.23,28.14
"D",480,16:00:00,28.37,0.0,-0.23,28.14
"D",481,16:00:00,28.37,0.0,-0.23,28.14
"D",482,16:00:00,28.37,0.0,-0.27,28.1
