"C","Real-Time Five-Minute System Load Report"
"C","Filename: rt_fiveminsysload_20190514.csv"
"C","Report for: 05/14/2019 - 05/14/2019"
"C","Report generated: 05/16/2019 17:22:02 EDT"
"H","Date/Time","Total Load","Native Load","Asset Related Load"
"H","Date/Time","MW","MW","MW"
"D","05/14/2019 00:00:00",10513.551,10244.851,268.7
"D","05/14/2019 00:05:00",10446.628,10177.628,269
"D","05/14/2019 00:10:00",10391.729,10129.129,262.6
"D","05/14/2019 00:15:00",10360.364,10090.264,270.1
"D","05/14/2019 00:20:00",10328.522,10058.922,269.6
"D","05/14/2019 00:25:00",10565.369,10014.369,551
"D","05/14/2019 00:30:00",10524.43,9969.73,554.7
"D","05/14/2019 00:35:00",10487.867,9935.167,552.7
"D","05/14/2019 00:40:00",10431.006,9881.406,549.6
"D","05/14/2019 00:45:00",10396.839,9844.039,552.8
"D","05/14/2019 00:50:00",10368.838,9817.438,551.4
"D","05/14/2019 00:55:00",10352.702,9802.002,550.7
"D","05/14/2019 01:00:00",10514.356,9712.956,801.4
"D","05/14/2019 01:05:00",10545.548,9734.348,811.2
"D","05/14/2019 01:10:00",10500.563,9696.363,804.2
"D","05/14/2019 01:15:00",10478.648,9675.448,803.2
"D","05/14/2019 01:20:00",10456.851,9652.851,804
"D","05/14/2019 01:25:00",10431.646,9628.746,802.9
"D","05/14/2019 01:30:00",10416.999,9614.399,802.6
"D","05/14/2019 01:35:00",10393.73,9586.43,807.3
"D","05/14/2019 01:40:00",10373.271,9569.671,803.6
"D","05/14/2019 01:45:00",10348.991,9548.691,800.3
"D","05/14/2019 01:50:00",10352.301,9549.201,803.1
"D","05/14/2019 01:55:00",10326.6,9523.4,803.2
"D","05/14/2019 02:00:00",10323.81,9520.51,803.3
"D","05/14/2019 02:05:00",10325.039,9524.639,800.4
"D","05/14/2019 02:10:00",10281.143,9477.743,803.4
"D","05/14/2019 02:15:00",10284.235,9483.735,800.5
"D","05/14/2019 02:20:00",10274.178,9472.878,801.3
"D","05/14/2019 02:25:00",10256.007,9448.207,807.8
"D","05/14/2019 02:30:00",10241.416,9439.516,801.9
"D","05/14/2019 02:35:00",10233.429,9432.729,800.7
"D","05/14/2019 02:40:00",10231.946,9431.846,800.1
"D","05/14/2019 02:45:00",10265.979,9464.679,801.3
"D","05/14/2019 02:50:00",10252.37,9452.77,799.6
"D","05/14/2019 02:55:00",10252.746,9454.646,798.1
"D","05/14/2019 03:00:00",10248.612,9452.612,796
"D","05/14/2019 03:05:00",10282.416,9485.316,797.1
"D","05/14/2019 03:10:00",10260.721,9465.221,795.5
"D","05/14/2019 03:15:00",10236.702,9439.002,797.7
"D","05/14/2019 03:20:00",10239.256,9443.656,795.6
"D","05/14/2019 03:25:00",10241.729,9444.029,797.7
"D","05/14/2019 03:30:00",10265.316,9465.416,799.9
"D","05/14/2019 03:35:00",10272.631,9475.931,796.7
"D","05/14/2019 03:40:00",10268.279,9472.279,796
"D","05/14/2019 03:45:00",10276.142,9479.942,796.2
"D","05/14/2019 03:50:00",10307.973,9513.873,794.1
"D","05/14/2019 03:55:00",10335.274,9539.174,796.1
"D","05/14/2019 04:00:00",10383.15,9586.95,796.2
"D","05/14/2019 04:05:00",10437.238,9639.738,797.5
"D","05/14/2019 04:10:00",10469.361,9669.961,799.4
"D","05/14/2019 04:15:00",10485.801,9691.301,794.5
"D","05/14/2019 04:20:00",10505.733,9712.133,793.6
"D","05/14/2019 04:25:00",10543.991,9748.291,795.7
"D","05/14/2019 04:30:00",10580.26,9785.76,794.5
"D","05/14/2019 04:35:00",10625.495,9832.595,792.9
"D","05/14/2019 04:40:00",10703.871,9909.371,794.5
"D","05/14/2019 04:45:00",10512.094,9966.794,545.3
"D","05/14/2019 04:50:00",10548.469,10008.469,540
"D","05/14/2019 04:55:00",10587.05,10045.95,541.1
"D","05/14/2019 05:00:00",10704.963,10164.963,540
"D","05/14/2019 05:05:00",10877.478,10335.978,541.5
"D","05/14/2019 05:10:00",10956.227,10416.027,540.2
"D","05/14/2019 05:15:00",11074.474,10533.074,541.4
"D","05/14/2019 05:20:00",11119.81,10578.91,540.9
"D","05/14/2019 05:25:00",11173.936,10634.336,539.6
"D","05/14/2019 05:30:00",11254.599,10714.699,539.9
"D","05/14/2019 05:35:00",11390.02,10846.92,543.1
"D","05/14/2019 05:40:00",11474.9,10936.1,538.8
"D","05/14/2019 05:45:00",11598.23,11059.23,539
"D","05/14/2019 05:50:00",11430.937,11143.337,287.6
"D","05/14/2019 05:55:00",11558.443,11277.743,280.7
"D","05/14/2019 06:00:00",11477.5,11477.5,0
"D","05/14/2019 06:05:00",11704.542,11704.542,0
"D","05/14/2019 06:10:00",11866.451,11865.851,0.6
"D","05/14/2019 06:15:00",11996.787,11996.787,0
"D","05/14/2019 06:20:00",12148.117,12148.117,0
"D","05/14/2019 06:25:00",12255.126,12255.126,0
"D","05/14/2019 06:30:00",12349.496,12349.096,0.4
"D","05/14/2019 06:35:00",12473.389,12473.389,0
"D","05/14/2019 06:40:00",12547.554,12542.254,5.3
"D","05/14/2019 06:45:00",12622.615,12622.615,0
"D","05/14/2019 06:50:00",12706.514,12704.014,2.5
"D","05/14/2019 06:55:00",12774.539,12770.139,4.4
