"C","Five-Minute Locational Marginal Prices"
"C","Filename: lmp_5min_final20191110_00-04.csv"
"C","Report for: 11/10/2019 - 11/10/2019"
"C","Report generated: 11/12/2019 12:45:24 EST"
"C","Note: The Roseton congestion component is the sum of the NYISO congestion adder (if applicable) and the ISO-NE congestion component"
"H","Location ID","Local Time","Energy Component","Congestion Component","Loss Component","LMP"
"H","Number","Time","$/MWh","$/MWh","$/MWh","$/MWh"
"D",321,00:00:00,27.49,0.0,0.4,27.89
"D",322,00:00:00,27.49,0.0,0.4,27.89
"D",323,00:00:00,27.49,0.0,0.4,27.89
"D",324,00:00:00,27.49,0.0,0.09,27.58
"D",326,00:00:00,27.49,0.0,-0.66,26.83
"D",327,00:00:00,27.49,0.0,0.24,27.73
"D",328,00:00:00,27.49,0.0,-0.6,26.89
"D",329,00:00:00,27.49,0.0,0.3,27.79
"D",330,00:00:00,27.49,0.0,0.26,27.75
"D",331,00:00:00,27.49,0.0,-0.86,26.63
"D",335,00:00:00,27.49,0.0,0.23,27.72
"D",336,00:00:00,27.49,0.0,-0.21,27.28
"D",337,00:00:00,27.49,0.0,-1.27,26.22
"D",340,00:00:00,27.49,0.0,-0.62,26.87
"D",341,00:00:00,27.49,0.0,-0.62,26.87
"D",345,00:00:00,27.49,0.0,-0.86,26.63
"D",346,00:00:00,27.49,0.0,-0.25,27.24
"D",348,00:00:00,27.49,0.0,0.21,27.7
"D",349,00:00:00,27.49,0.0,-0.62,26.87
"D",355,00:00:00,27.49,0.0,-0.33,27.16
"D",356,00:00:00,27.49,0.0,-0.45,27.04
"D",357,00:00:00,27.49,0.0,0.09,27.58
"D",358,00:00:00,27.49,0.0,-0.46,27.03
"D",359,00:00:00,27.49,0.0,-0.74,26.75
"D",360,00:00:00,27.49,0.0,-0.74,26.75
"D",362,00:00:00,27.49,0.0,-0.68,26.81
"D",363,00:00:00,27.49,0.0,-0.35,27.14
"D",365,00:00:00,27.49,0.0,0.49,27.98
"D",366,00:00:00,27.49,0.0,0.49,27.98
"D",367,00:00:00,27.49,0.0,-0.13,27.36
"D",368,00:00:00,27.49,0.0,-0.13,27.36
"D",369,00:00:00,27.49,0.0,-0.2,27.29
"D",370,00:00:00,27.49,0.0,-0.39,27.1
"D",371,00:00:00,27.49,0.0,-0.39,27.1
"D",372,00:00:00,27.49,0.0,-0.39,27.1
"D",375,00:00:00,27.49,0.0,0.49,27.98
"D",376,00:00:00,27.49,0.0,0.49,27.98
"D",379,00:00:00,27.49,0.0,0.07,27.56
"D",382,00:00:00,27.49,0.0,0.18,27.67
"D",383,00:00:00,27.49,0.0,0.18,27.67
"D",388,00:00:00,27.49,0.0,0.38,27.87
"D",389,00:00:00,27.49,0.0,-0.83,26.66
"D",393,00:00:00,27.49,0.0,-0.83,26.66
"D",395,00:00:00,27.49,0.0,-0.66,26.83
"D",396,00:00:00,27.49,0.0,-0.67,26.82
"D",397,00:00:00,27.49,0.0,-0.79,26.7
"D",398,00:00:00,27.49,0.0,-0.79,26.7
"D",399,00:00:00,27.49,0.0,-0.79,26.7
"D",400,00:00:00,27.49,0.0,-0.79,26.7
"D",401,00:00:00,27.49,0.0,0.39,27.88
"D",405,00:00:00,27.49,0.0,-1.17,26.32
"D",407,00:00:00,27.49,0.0,-1.33,26.16
"D",410,00:00:00,27.49,0.0,-0.7,26.79
"D",412,00:00:00,27.49,0.0,0.3,27.79
"D",413,00:00:00,27.49,0.0,-0.83,26.66
"D",417,00:00:00,27.49,0.0,0.51,28.0
"D",418,00:00:00,27.49,0.0,0.51,28.0
"D",419,00:00:00,27.49,0.0,0.51,28.0
"D",420,00:00:00,27.49,0.0,-0.3,27.19
"D",421,00:00:00,27.49,0.0,0.07,27.56
"D",424,00:00:00,27.49,0.0,-1.9,25.59
"D",426,00:00:00,27.49,0.0,-0.7,26.79
"D",427,00:00:00,27.49,0.0,-2.62,24.87
"D",432,00:00:00,27.49,0.0,-1.51,25.98
"D",433,00:00:00,27.49,0.0,-1.51,25.98
"D",434,00:00:00,27.49,0.0,-1.51,25.98
"D",435,00:00:00,27.49,0.0,-0.64,26.85
"D",436,00:00:00,27.49,0.0,0.39,27.88
"D",440,00:00:00,27.49,0.0,-0.21,27.28
"D",445,00:00:00,27.49,0.0,-1.8,25.69
"D",446,00:00:00,27.49,0.0,-1.33,26.16
"D",448,00:00:00,27.49,0.0,-0.01,27.48
"D",449,00:00:00,27.49,0.0,0.24,27.73
"D",452,00:00:00,27.49,0.0,0.24,27.73
"D",457,00:00:00,27.49,0.0,0.21,27.7
"D",460,00:00:00,27.49,0.0,-1.01,26.48
"D",461,00:00:00,27.49,0.0,0.21,27.7
"D",462,00:00:00,27.49,0.0,-0.21,27.28
"D",463,00:00:00,27.49,0.0,-0.9,26.59
"D",464,00:00:00,27.49,0.0,-2.12,25.37
"D",465,00:00:00,27.49,0.0,-0.82,26.67
"D",466,00:00:00,27.49,0.0,0.39,27.88
"D",467,00:00:00,27.49,0.0,0.23,27.72
"D",468,00:00:00,27.49,0.0,-0.21,27.28
"D",472,00:00:00,27.49,0.0,0.39,27.88
"D",473,00:00:00,27.49,0.0,-0.46,27.03
"D",474,00:00:00,27.49,0.0,-0.69,26.8
"D",478,00:00:00,27.49,0.0,-0.37,27.12
"D",480,00:00:00,27.49,0.0,-0.37,27.12
"D",481,00:00:00,27.49,0.0,-0.37,27.12
"D",482,00:00:00,27.49,0.0,-0.48,27.01
"D",484,00:00:00,27.49,0.0,-0.77,26.72
