"Time stamp","Array DC power | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 01:00 am",0
"Jan 1, 02:00 am",0
"Jan 1, 03:00 am",0
"Jan 1, 04:00 am",0
"Jan 1, 05:00 am",0
"Jan 1, 06:00 am",0
"Jan 1, 07:00 am",0
"Jan 1, 08:00 am",25.1284
"Jan 1, 09:00 am",82.2378
"Jan 1, 10:00 am",120.756
"Jan 1, 11:00 am",144.725
"Jan 1, 12:00 pm",154.742
"Jan 1, 01:00 pm",152.254
"Jan 1, 02:00 pm",137.313
"Jan 1, 03:00 pm",107.006
"Jan 1, 04:00 pm",61.1321
"Jan 1, 05:00 pm",0
"Jan 1, 06:00 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 11:00 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 01:00 am",0
"Jan 2, 02:00 am",0
"Jan 2, 03:00 am",0
"Jan 2, 04:00 am",0
"Jan 2, 05:00 am",0
"Jan 2, 06:00 am",0
"Jan 2, 07:00 am",0
"Jan 2, 08:00 am",25.0387
"Jan 2, 09:00 am",80.8494
"Jan 2, 10:00 am",121.074
"Jan 2, 11:00 am",144.793
"Jan 2, 12:00 pm",155.018
"Jan 2, 01:00 pm",152.266
"Jan 2, 02:00 pm",136.48
"Jan 2, 03:00 pm",105.528
"Jan 2, 04:00 pm",60.2344
"Jan 2, 05:00 pm",0
"Jan 2, 06:00 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 11:00 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 01:00 am",0
"Jan 3, 02:00 am",0
"Jan 3, 03:00 am",0
"Jan 3, 04:00 am",0
"Jan 3, 05:00 am",0
"Jan 3, 06:00 am",0
"Jan 3, 07:00 am",0
"Jan 3, 08:00 am",24.0244
"Jan 3, 09:00 am",77.8354
"Jan 3, 10:00 am",115.871
"Jan 3, 11:00 am",140.107
"Jan 3, 12:00 pm",116.193
"Jan 3, 01:00 pm",24.1867
"Jan 3, 02:00 pm",48.6774
"Jan 3, 03:00 pm",105.688
"Jan 3, 04:00 pm",61.6806
"Jan 3, 05:00 pm",0
"Jan 3, 06:00 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 11:00 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 01:00 am",0
"Jan 4, 02:00 am",0
"Jan 4, 03:00 am",0
"Jan 4, 04:00 am",0
"Jan 4, 05:00 am",0
"Jan 4, 06:00 am",0
"Jan 4, 07:00 am",0
"Jan 4, 08:00 am",24.5367
"Jan 4, 09:00 am",82.0666
"Jan 4, 10:00 am",120.895
"Jan 4, 11:00 am",142.927
"Jan 4, 12:00 pm",153.937
"Jan 4, 01:00 pm",152.075
"Jan 4, 02:00 pm",135.955
"Jan 4, 03:00 pm",107.207
"Jan 4, 04:00 pm",62.6692
"Jan 4, 05:00 pm",0
"Jan 4, 06:00 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 11:00 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 01:00 am",0
"Jan 5, 02:00 am",0
"Jan 5, 03:00 am",0
"Jan 5, 04:00 am",0
"Jan 5, 05:00 am",0
"Jan 5, 06:00 am",0
"Jan 5, 07:00 am",0
"Jan 5, 08:00 am",24.1848
"Jan 5, 09:00 am",80.087
"Jan 5, 10:00 am",118.951
"Jan 5, 11:00 am",142.579
