"Time stamp","Array DC power | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 01:00 am",0
"Jan 1, 02:00 am",0
"Jan 1, 03:00 am",0
"Jan 1, 04:00 am",0
"Jan 1, 05:00 am",0
"Jan 1, 06:00 am",0
"Jan 1, 07:00 am",0
"Jan 1, 08:00 am",0.557115
"Jan 1, 09:00 am",1.81692
"Jan 1, 10:00 am",2.67291
"Jan 1, 11:00 am",3.20528
"Jan 1, 12:00 pm",3.43084
"Jan 1, 01:00 pm",3.37906
"Jan 1, 02:00 pm",3.05065
"Jan 1, 03:00 pm",2.38263
"Jan 1, 04:00 pm",1.35982
"Jan 1, 05:00 pm",0
"Jan 1, 06:00 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 11:00 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 01:00 am",0
"Jan 2, 02:00 am",0
"Jan 2, 03:00 am",0
"Jan 2, 04:00 am",0
"Jan 2, 05:00 am",0
"Jan 2, 06:00 am",0
"Jan 2, 07:00 am",0
"Jan 2, 08:00 am",0.555446
"Jan 2, 09:00 am",1.78658
"Jan 2, 10:00 am",2.67587
"Jan 2, 11:00 am",3.20478
"Jan 2, 12:00 pm",3.43574
"Jan 2, 01:00 pm",3.37907
"Jan 2, 02:00 pm",3.03531
"Jan 2, 03:00 pm",2.35109
"Jan 2, 04:00 pm",1.33929
"Jan 2, 05:00 pm",0
"Jan 2, 06:00 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 11:00 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 01:00 am",0
"Jan 3, 02:00 am",0
"Jan 3, 03:00 am",0
"Jan 3, 04:00 am",0
"Jan 3, 05:00 am",0
"Jan 3, 06:00 am",0
"Jan 3, 07:00 am",0
"Jan 3, 08:00 am",0.533675
"Jan 3, 09:00 am",1.72371
"Jan 3, 10:00 am",2.57024
"Jan 3, 11:00 am",3.10722
"Jan 3, 12:00 pm",2.57824
"Jan 3, 01:00 pm",0.541468
"Jan 3, 02:00 pm",1.08561
"Jan 3, 03:00 pm",2.35118
"Jan 3, 04:00 pm",1.3726
"Jan 3, 05:00 pm",0
"Jan 3, 06:00 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 11:00 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 01:00 am",0
"Jan 4, 02:00 am",0
"Jan 4, 03:00 am",0
"Jan 4, 04:00 am",0
"Jan 4, 05:00 am",0
"Jan 4, 06:00 am",0
"Jan 4, 07:00 am",0
"Jan 4, 08:00 am",0.543606
"Jan 4, 09:00 am",1.81165
"Jan 4, 10:00 am",2.67334
"Jan 4, 11:00 am",3.17366
"Jan 4, 12:00 pm",3.42537
"Jan 4, 01:00 pm",3.38881
"Jan 4, 02:00 pm",3.03277
"Jan 4, 03:00 pm",2.39513
"Jan 4, 04:00 pm",1.39958
"Jan 4, 05:00 pm",0
"Jan 4, 06:00 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 11:00 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 01:00 am",0
"Jan 5, 02:00 am",0
"Jan 5, 03:00 am",0
"Jan 5, 04:00 am",0
"Jan 5, 05:00 am",0
"Jan 5, 06:00 am",0
"Jan 5, 07:00 am",0
"Jan 5, 08:00 am",0.536641
"Jan 5, 09:00 am",1.77051
"Jan 5, 10:00 am",2.63579
