Time stamp,System power generated | (kW)
1/1/2018 0:00,424.981
1/1/2018 1:00,402.314
1/1/2018 2:00,315.313
1/1/2018 3:00,214.509
1/1/2018 4:00,106.116
1/1/2018 5:00,17.6609
1/1/2018 6:00,4.04881
1/1/2018 7:00,0
1/1/2018 8:00,0
1/1/2018 9:00,0
1/1/2018 10:00,0
1/1/2018 11:00,0
1/1/2018 12:00,0
1/1/2018 13:00,34.6466
1/1/2018 14:00,125.708
1/1/2018 15:00,274.047
1/1/2018 16:00,434.562
1/1/2018 17:00,456.263
1/1/2018 18:00,523.615
1/1/2018 19:00,560.59
1/1/2018 20:00,586.141
1/1/2018 21:00,603.87
1/1/2018 22:00,596.639
1/1/2018 23:00,599.603
1/2/2018 0:00,599.216
1/2/2018 1:00,596.11
1/2/2018 2:00,596.618
1/2/2018 3:00,597.018
1/2/2018 4:00,598.398
1/2/2018 5:00,598.211
1/2/2018 6:00,594.369
1/2/2018 7:00,598.582
1/2/2018 8:00,603.865
1/2/2018 9:00,604.013
1/2/2018 10:00,600.627
1/2/2018 11:00,521.836
1/2/2018 12:00,389.265
1/2/2018 13:00,253.961
1/2/2018 14:00,328.819
1/2/2018 15:00,345.147
1/2/2018 16:00,369.31
1/2/2018 17:00,411.949
1/2/2018 18:00,466.683
1/2/2018 19:00,414.335
1/2/2018 20:00,356.778
1/2/2018 21:00,288.527
1/2/2018 22:00,223.662
1/2/2018 23:00,167.647
1/3/2018 0:00,190.574
1/3/2018 1:00,283.563
1/3/2018 2:00,307.527
1/3/2018 3:00,322.277
1/3/2018 4:00,353.871
1/3/2018 5:00,357.277
1/3/2018 6:00,366.842
1/3/2018 7:00,388.353
1/3/2018 8:00,400.46
1/3/2018 9:00,528.774
1/3/2018 10:00,561.226
1/3/2018 11:00,570.319
1/3/2018 12:00,599.422
1/3/2018 13:00,586.841
1/3/2018 14:00,588.589
1/3/2018 15:00,587.884
1/3/2018 16:00,570.612
1/3/2018 17:00,592.174
1/3/2018 18:00,604.083
1/3/2018 19:00,602.149
1/3/2018 20:00,588.657
1/3/2018 21:00,590.005
1/3/2018 22:00,600.305
1/3/2018 23:00,601.396
1/4/2018 0:00,589.824
1/4/2018 1:00,544.209
1/4/2018 2:00,539.193
1/4/2018 3:00,519.362
1/4/2018 4:00,492.825
1/4/2018 5:00,497.809
1/4/2018 6:00,533.574
1/4/2018 7:00,564.349
1/4/2018 8:00,587.693
1/4/2018 9:00,565.306
1/4/2018 10:00,512.472
1/4/2018 11:00,449.243
1/4/2018 12:00,374.596
1/4/2018 13:00,402.389
1/4/2018 14:00,304.515
1/4/2018 15:00,251.148
1/4/2018 16:00,294.089
1/4/2018 17:00,339.705
1/4/2018 18:00,374.841
1/4/2018 19:00,345.505
1/4/2018 20:00,321.876
1/4/2018 21:00,339.776
1/4/2018 22:00,351.832
1/4/2018 23:00,392.977
1/5/2018 0:00,299.031
1/5/2018 1:00,364.019
1/5/2018 2:00,277.375
1/5/2018 3:00,218.599
1/5/2018 4:00,209.319
1/5/2018 5:00,167.344
1/5/2018 6:00,142.754
1/5/2018 7:00,139.574
1/5/2018 8:00,133.444
1/5/2018 9:00,62.455
1/5/2018 10:00,15.3591
1/5/2018 11:00,9.43201
1/5/2018 12:00,0
1/5/2018 13:00,0
1/5/2018 14:00,0
1/5/2018 15:00,0
1/5/2018 16:00,0
1/5/2018 17:00,0
1/5/2018 18:00,0
1/5/2018 19:00,8.15935
1/5/2018 20:00,68.6286
1/5/2018 21:00,102.992
1/5/2018 22:00,114.648
1/5/2018 23:00,16.6434
1/6/2018 0:00,0
1/6/2018 1:00,0
1/6/2018 2:00,0
1/6/2018 3:00,0
1/6/2018 4:00,0
1/6/2018 5:00,0
1/6/2018 6:00,0
1/6/2018 7:00,0
1/6/2018 8:00,0
1/6/2018 9:00,0
1/6/2018 10:00,0
1/6/2018 11:00,18.2487
